Date,Rank,Alpha,ISIN,Instrument,Primary,ICB Sub-Sector,Status,Free Float Pass,Liquidity Pass,Gross Market Capitalisation,ALSI Universe,Cumulative Market Capitalisation,ALSI Current,ALSI Change,ALSI New,Index Current,Index Change,Index New,TOPI Current,TOPI Change,TOPI New,DTOP Current,DTOP Change,DTOP New,RESI Current,RESI Change,RESI New,FINI Current,FINI Change,FINI New,INDI Current,INDI Change,INDI New,PCAP Current,PCAP Change,PCAP New,SAPY Current,SAPY Change,SAPY New,ALTI Universe,ALTI Current,ALTI Change,ALTI New,Board,Notes
2019-12-23 00:00:00.000,227,TPC,ZAE000007480,Transpaco Ltd,NULL,2723,NULL,TRUE,FALSE,522893108.1,TRUE,0.9992606818443411,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,6,TPF,ZAE000227765,Transcend Res Prop Fd Ld,NULL,8673,NULL,TRUE,FALSE,909718811.35,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2019-12-23 00:00:00.000,125,TRE,ZAE000007506,Trencor Ltd,NULL,2777,NULL,TRUE,TRUE,5010605482.05,TRUE,0.9836137778900914,ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,237,TRL,ZAE000209342,Trellidor Hldgs Ltd,NULL,2353,NULL,TRUE,TRUE,389593922.65,TRUE,0.9995631210873732,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,70,TRU,ZAE000028296,Truworths Int Ltd,NULL,5371,NULL,TRUE,TRUE,23328310187.05,TRUE,0.9432347935458065,ALSI,NULL,ALSI,MIDC,NULL,MIDC,"    ",,"    ","    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,INDI,,INDI,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,80,TSG,ZAE000273116,Tsogo Sun Gaming Ltd,NULL,5752,NULL,TRUE,TRUE,13409721799.68,TRUE,0.9559670773111788,ALSI,NULL,ALSI,MIDC,NULL,MIDC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,NULL,TSX,ZAE000018552,Trans Hex Group Ltd,NULL,1773,NULL,TRUE,FALSE,113178350.74,TRUE,0.9999458200068755,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,Deleted after Cut Date
2019-12-23 00:00:00.000,NULL,TTO,NA000A0RF067,Trustco Group Hldgs Ltd,NULL,8775,NULL,TRUE,FALSE,9231534704.4,TRUE,0.9694779999676685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,179,TWR,ZAE000179040,Tower Property Fund Ltd,NULL,8674,NULL,TRUE,FALSE,1697748235,TRUE,0.9960347214489028,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,NULL,UAT,ZAE000254314,Union Atlantic Minerals Ltd,NULL,1775,NULL,TRUE,FALSE,59205808.52,FALSE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,Suspended
